code,description,original_code
137,"Horses: live, pure-bred breeding animals",010111
138,"Horses: live, other than pure-bred breeding animals",010119
139,"Asses, mules and hinnies: live",010120
140,"Bovine animals: live, pure-bred breeding animals",010210
141,"Bovine animals: live, other than pure-bred breeding animals",010290
142,"Swine: live, pure-bred breeding animals",010310
143,"Swine: live, (other than pure-bred breeding animals), weighing less than 50kg",010391
144,"Swine: live, (other than pure-bred breeding animals), weighing 50kg or more",010392
145,Sheep: live,010410
146,Goats: live,010420
147,"Poultry: live, fowls of the species gallus domesticus, weighing not more than 185g",010511
148,"Poultry: live, weighing not more than 185g, ducks, geese, turkeys and guinea fowls",010519
149,"Poultry: live, fowls of the species gallus domesticus, weighing more than 185g",010591
150,"Poultry: live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",010599
151,"Animals: live, n.e.s. in chapter 1",010600
152,"Meat: of bovine animals, carcasses and half-carcasses, fresh or chilled",020110
153,"Meat: of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",020120
154,"Meat: of bovine animals, boneless cuts, fresh or chilled",020130
155,"Meat: of bovine animals, carcasses and half-carcasses, frozen",020210
156,"Meat: of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",020220
157,"Meat: of bovine animals, boneless cuts, frozen",020230
158,"Meat: of swine, carcasses and half-carcasses, fresh or chilled",020311
159,"Meat: of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled",020312
160,"Meat: of swine, n.e.s. in item no. 0203.1, fresh or chilled",020319
161,"Meat: of swine, carcasses and half-carcasses, frozen",020321
162,"Meat: of swine, hams, shoulders and cuts thereof, with bone in, frozen",020322
163,"Meat: of swine, n.e.s. in item no. 0203.2, frozen",020329
164,"Meat: of sheep, lamb carcasses and half-carcasses, fresh or chilled",020410
165,"Meat: of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled",020421
166,"Meat: of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",020422
167,"Meat: of sheep (including lamb), boneless cuts, fresh or chilled",020423
168,"Meat: of sheep, lamb carcasses and half-carcasses, frozen",020430
169,"Meat: of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen",020441
170,"Meat: of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen",020442
171,"Meat: of sheep (including lamb), boneless cuts, frozen",020443
172,"Meat: of goats, fresh, chilled or frozen",020450
173,"Meat: of horses, asses, mules or hinnies, fresh, chilled or frozen",020500
174,"Offal, edible: of bovine animals, fresh or chilled",020610
175,"Offal, edible: of bovine animals, tongues, frozen",020621
176,"Offal, edible: of bovine animals, livers, frozen",020622
177,"Offal, edible: of bovine animals, (other than tongues and livers), frozen",020629
178,"Offal, edible: of swine, fresh or chilled",020630
179,"Offal, edible: of swine, livers, frozen",020641
180,"Offal, edible: of swine, (other than livers), frozen",020649
181,"Offal, edible: of sheep, goats, horses, asses, mules or hinnies, fresh or chilled",020680
182,"Offal, edible: of sheep, goats, horses, asses, mules or hinnies, frozen",020690
183,"Meat and edible offal: poultry, not cut in pieces, fresh or chilled",020710
184,"Meat and edible offal: fowls of the species gallus domesticus, not cut in pieces, frozen",020721
185,"Meat and edible offal: turkeys, not cut in pieces, frozen",020722
186,"Meat and edible offal: ducks, geese and guinea fowls, not cut in pieces, frozen",020723
187,"Offal, edible: of geese or ducks, fatty livers, fresh or chilled",020731
188,"Meat and edible offal: poultry cuts and offal (including livers but excluding the fatty livers of geese or ducks), fresh or chilled",020739
189,"Meat and edible offal: of fowls of the species gallus domesticus, poultry cuts and offal (excluding livers), frozen",020741
190,"Meat and edible offal: of turkeys, poultry cuts and offal (excluding livers), frozen",020742
191,"Meat and edible offal: of ducks, geese or guinea fowls, poultry cuts and offal (excluding livers) frozen",020743
192,"Meat and edible meat offal: of rabbits or hares, fresh, chilled or frozen",020810
