code,original_code
137,0101
138,0102
139,0103
140,0104
141,0105
142,0106
143,0201
144,0202
145,0203
146,0204
147,0205
148,0206
149,0207
150,0208
151,0209
152,0210
153,0301
154,0302
155,0303
156,0304
157,0305
158,0306
159,0307
160,0401
161,0402
162,0403
163,0404
164,0405
165,0406
166,0407
167,0408
168,0409
169,0410
170,0501
171,0502
172,0504
173,0505
174,0506
175,0507
176,0508
177,0510
178,0511
179,0601
180,0602
181,0603
182,0604
183,0701
184,0702
185,0703
186,0704
187,0705
188,0706
189,0707
190,0708
191,0709
192,0710
193,0711
194,0712
195,0713
196,0714
197,0801
198,0802
199,0803
200,0804
201,0805
202,0806
203,0807
204,0808
205,0809
206,0810
207,0811
208,0812
209,0813
210,0814
211,0901
212,0902
213,0903
214,0904
215,0905
216,0906
217,0907
218,0908
219,0909
220,0910
221,1001
222,1002
223,1003
224,1004
225,1005
226,1006
227,1007
228,1008
229,1101
230,1102
231,1103
232,1104
233,1105
234,1106
235,1107
236,1108
237,1109
238,1201
239,1202
240,1203
241,1204
242,1205
243,1206
244,1207
245,1208
246,1209
247,1210
248,1211
249,1212
250,1213
251,1214
252,1301
253,1302
254,1401
255,1404
256,1501
257,1502
258,1503
259,1504
260,1505
261,1506
262,1507
263,1508
264,1509
265,1510
266,1511
267,1512
268,1513
269,1514
270,1515
271,1516
272,1517
273,1518
274,1519
275,1520
276,1521
277,1522
278,1601
279,1602
280,1603
281,1604
282,1605
283,1701
284,1702
285,1703
286,1704
287,1801
288,1802
289,1803
290,1804
291,1805
292,1806
293,1901
294,1902
295,1903
296,1904
297,1905
298,2001
299,2002
300,2003
301,2004
302,2005
303,2006
304,2007
305,2008
306,2009
307,2101
308,2102
309,2103
310,2104
311,2105
312,2106
313,2201
314,2202
315,2203
316,2204
317,2205
318,2206
319,2207
320,2208
321,2209
322,2301
323,2302
324,2303
325,2304
326,2305
327,2306
328,2307
329,2308
330,2309
331,2401
332,2402
333,2403
334,2501
335,2502
336,2503
337,2504
338,2505
339,2506
340,2507
341,2508
342,2509
343,2510
344,2511
345,2512
346,2513
347,2514
348,2515
349,2516
350,2517
351,2518
352,2519
353,2520
354,2521
355,2522
356,2523
357,2524
358,2525
359,2526
360,2528
361,2529
362,2530
363,2601
364,2602
365,2603
366,2604
367,2605
368,2606
369,2607
370,2608
371,2609
372,2610
373,2611
374,2612
375,2613
376,2614
377,2615
378,2616
379,2617
380,2618
381,2619
382,2620
383,2621
384,2701
385,2702
386,2703
387,2704
388,2705
389,2706
390,2707
391,2708
392,2709
393,2710
394,2711
395,2712
396,2713
397,2714
398,2715
399,2716
400,2801
401,2802
402,2803
403,2804
404,2805
405,2806
406,2807
407,2808
408,2809
409,2810
410,2811
411,2812
412,2813
413,2814
414,2815
415,2816
416,2817
417,2818
418,2819
419,2820
420,2821
421,2822
422,2823
423,2824
424,2825
425,2826
426,2827
427,2828
428,2829
429,2830
430,2831
431,2832
432,2833
433,2834
434,2835
435,2836
436,2837
437,2839
438,2840
439,2841
440,2842
441,2843
442,2844
443,2845
444,2846
445,2847
446,2848
447,2849
448,2850
449,2851
450,2901
451,2902
452,2903
453,2904
454,2905
455,2906
456,2907
457,2908
458,2909
459,2910
460,2911
461,2912
462,2913
