[I 2025-10-14 12:26:15,435] A new study created in memory with name: no-name-bb3e2849-734e-42ee-ab54-ee5069f0e0fb
[I 2025-10-14 13:03:46,083] Trial 0 finished with value: 0.8038863279328554 and parameters: {'hid_dim': 1024, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 4, 'lr': 0.0001, 'weight_decay': 0.001}. Best is trial 0 with value: 0.8038863279328554.
[I 2025-10-14 14:10:49,273] Trial 1 finished with value: 0.770214671548974 and parameters: {'hid_dim': 512, 'beta': 0.2, 'dropout_rate': 0.3, 'win_size': 8, 'lr': 0.0001, 'weight_decay': 0.005}. Best is trial 0 with value: 0.8038863279328554.
[I 2025-10-14 15:18:23,776] Trial 2 finished with value: 0.8000616032177209 and parameters: {'hid_dim': 1024, 'beta': 0.2, 'dropout_rate': 0.3, 'win_size': 8, 'lr': 0.0001, 'weight_decay': 0.005}. Best is trial 0 with value: 0.8038863279328554.
[I 2025-10-14 16:27:12,895] Trial 3 finished with value: 0.8031252562638805 and parameters: {'hid_dim': 2048, 'beta': 0.4, 'dropout_rate': 0.1, 'win_size': 8, 'lr': 0.0001, 'weight_decay': 0.0001}. Best is trial 0 with value: 0.8038863279328554.
[I 2025-10-14 17:20:17,023] Trial 4 finished with value: 0.8033927874846832 and parameters: {'hid_dim': 2048, 'beta': 0.4, 'dropout_rate': 0.1, 'win_size': 6, 'lr': 0.0005, 'weight_decay': 0.005}. Best is trial 0 with value: 0.8038863279328554.
[I 2025-10-14 18:36:36,847] Trial 5 finished with value: 0.7992640427450818 and parameters: {'hid_dim': 2048, 'beta': 0.1, 'dropout_rate': 0.4, 'win_size': 8, 'lr': 0.0005, 'weight_decay': 0.0005}. Best is trial 0 with value: 0.8038863279328554.
[I 2025-10-14 19:38:14,848] Trial 6 finished with value: 0.7961489054747909 and parameters: {'hid_dim': 1024, 'beta': 0.2, 'dropout_rate': 0.1, 'win_size': 6, 'lr': 0.0005, 'weight_decay': 0.005}. Best is trial 0 with value: 0.8038863279328554.
[I 2025-10-14 20:00:57,951] Trial 7 finished with value: 0.6871062735785429 and parameters: {'hid_dim': 1024, 'beta': 0.4, 'dropout_rate': 0.5, 'win_size': 2, 'lr': 5e-05, 'weight_decay': 0.0001}. Best is trial 0 with value: 0.8038863279328554.
[I 2025-10-14 20:27:47,572] Trial 8 finished with value: 0.7936097426581968 and parameters: {'hid_dim': 1024, 'beta': 0.0, 'dropout_rate': 0.1, 'win_size': 2, 'lr': 0.0005, 'weight_decay': 0.005}. Best is trial 0 with value: 0.8038863279328554.
[I 2025-10-14 21:10:17,539] Trial 9 finished with value: 0.7249042660594189 and parameters: {'hid_dim': 1024, 'beta': 0.1, 'dropout_rate': 0.3, 'win_size': 4, 'lr': 0.005, 'weight_decay': 0.0005}. Best is trial 0 with value: 0.8038863279328554.
[I 2025-10-14 21:52:39,841] Trial 10 finished with value: 0.7834431444083636 and parameters: {'hid_dim': 512, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 4, 'lr': 0.001, 'weight_decay': 0.001}. Best is trial 0 with value: 0.8038863279328554.
[I 2025-10-14 22:45:37,381] Trial 11 finished with value: 0.8058531689532155 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 11 with value: 0.8058531689532155.
[I 2025-10-14 23:38:40,272] Trial 12 finished with value: 0.8068937622101493 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 12 with value: 0.8068937622101493.
[I 2025-10-15 00:31:28,156] Trial 13 finished with value: 0.8094852990052955 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 13 with value: 0.8094852990052955.
[I 2025-10-15 01:24:30,004] Trial 14 finished with value: 0.8088090947012175 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 13 with value: 0.8094852990052955.
[I 2025-10-15 02:17:25,008] Trial 15 finished with value: 0.808576588590188 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 13 with value: 0.8094852990052955.
[I 2025-10-15 03:10:27,417] Trial 16 finished with value: 0.8050938092710886 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.4, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 13 with value: 0.8094852990052955.
[I 2025-10-15 04:03:17,408] Trial 17 finished with value: 0.7961387773504928 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.5, 'win_size': 6, 'lr': 0.001, 'weight_decay': 0.001}. Best is trial 13 with value: 0.8094852990052955.
[I 2025-10-15 04:55:43,848] Trial 18 finished with value: 0.7630308099405761 and parameters: {'hid_dim': 512, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 0.005, 'weight_decay': 0.001}. Best is trial 13 with value: 0.8094852990052955.
[I 2025-10-15 05:18:39,246] Trial 19 finished with value: 0.7871319395813305 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 2, 'lr': 5e-05, 'weight_decay': 0.0005}. Best is trial 13 with value: 0.8094852990052955.
[I 2025-10-15 06:11:20,768] Trial 20 finished with value: 0.8059322508437033 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.0001}. Best is trial 13 with value: 0.8094852990052955.
[I 2025-10-15 07:04:32,728] Trial 21 finished with value: 0.810770000789364 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-15 07:57:27,323] Trial 22 finished with value: 0.8092747877602559 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-15 08:50:21,127] Trial 23 finished with value: 0.8069329712577646 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-15 09:43:33,465] Trial 24 finished with value: 0.8032564072372889 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-15 10:35:47,376] Trial 25 finished with value: 0.7310340291230202 and parameters: {'hid_dim': 512, 'beta': 0.3, 'dropout_rate': 0.5, 'win_size': 6, 'lr': 0.005, 'weight_decay': 0.001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-15 11:28:30,382] Trial 26 finished with value: 0.8039795690859689 and parameters: {'hid_dim': 2048, 'beta': 0.1, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-15 12:06:29,974] Trial 27 finished with value: 0.7937290063228403 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.4, 'win_size': 4, 'lr': 0.001, 'weight_decay': 0.001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-15 12:29:14,508] Trial 28 finished with value: 0.7977674655496484 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 2, 'lr': 5e-05, 'weight_decay': 0.0005}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-15 13:06:52,390] Trial 29 finished with value: 0.7356669567811567 and parameters: {'hid_dim': 512, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 4, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-15 13:59:29,937] Trial 30 finished with value: 0.8078431549812195 and parameters: {'hid_dim': 2048, 'beta': 0.2, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.0001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-15 14:56:36,616] Trial 31 finished with value: 0.8082179404707653 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-15 15:54:34,139] Trial 32 finished with value: 0.8069735774904907 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-15 16:52:30,426] Trial 33 finished with value: 0.8041130798553745 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.3, 'win_size': 6, 'lr': 0.0001, 'weight_decay': 0.001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-15 18:08:20,267] Trial 34 finished with value: 0.8025294256464061 and parameters: {'hid_dim': 2048, 'beta': 0.2, 'dropout_rate': 0.2, 'win_size': 8, 'lr': 0.0001, 'weight_decay': 0.001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-15 19:10:58,443] Trial 35 finished with value: 0.8029495208528271 and parameters: {'hid_dim': 2048, 'beta': 0.4, 'dropout_rate': 0.3, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-15 20:24:00,120] Trial 36 finished with value: 0.7999297105197877 and parameters: {'hid_dim': 2048, 'beta': 0.1, 'dropout_rate': 0.4, 'win_size': 8, 'lr': 5e-05, 'weight_decay': 0.005}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-15 21:15:59,294] Trial 37 finished with value: 0.7672693936701638 and parameters: {'hid_dim': 512, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 0.0001, 'weight_decay': 0.001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-15 22:23:45,276] Trial 38 finished with value: 0.7979177987038492 and parameters: {'hid_dim': 1024, 'beta': 0.4, 'dropout_rate': 0.1, 'win_size': 8, 'lr': 0.0005, 'weight_decay': 0.0001}. Best is trial 21 with value: 0.810770000789364.
