[I 2025-10-06 19:56:26,334] A new study created in memory with name: no-name-974818bf-1c55-48f3-8b51-5a5e4003fa6b
[I 2025-10-06 20:08:42,639] Trial 0 finished with value: 0.003839060750720796 and parameters: {'hid_dim': 2048, 'beta': 0.1, 'dropout_rate': 0.5, 'win_size': 6, 'lr': 0.0001, 'weight_decay': 0.0005}. Best is trial 0 with value: 0.003839060750720796.
[I 2025-10-06 20:15:49,324] Trial 1 finished with value: 0.28172326976412726 and parameters: {'hid_dim': 1024, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 4, 'lr': 0.0001, 'weight_decay': 0.0001}. Best is trial 1 with value: 0.28172326976412726.
[I 2025-10-06 20:25:32,469] Trial 2 finished with value: 0.002561368554272088 and parameters: {'hid_dim': 1024, 'beta': 0.2, 'dropout_rate': 0.3, 'win_size': 6, 'lr': 0.005, 'weight_decay': 0.0005}. Best is trial 1 with value: 0.28172326976412726.
[I 2025-10-06 20:34:17,164] Trial 3 finished with value: 8.551639974037295e-05 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.3, 'win_size': 4, 'lr': 5e-05, 'weight_decay': 0.005}. Best is trial 1 with value: 0.28172326976412726.
[I 2025-10-06 21:10:44,519] Trial 4 finished with value: 0.0 and parameters: {'hid_dim': 4096, 'beta': 0.1, 'dropout_rate': 0.5, 'win_size': 6, 'lr': 0.001, 'weight_decay': 0.005}. Best is trial 1 with value: 0.28172326976412726.
[I 2025-10-06 21:19:16,553] Trial 5 finished with value: 0.0020497932665051945 and parameters: {'hid_dim': 1024, 'beta': 0.2, 'dropout_rate': 0.1, 'win_size': 4, 'lr': 5e-05, 'weight_decay': 0.0001}. Best is trial 1 with value: 0.28172326976412726.
[I 2025-10-06 21:31:11,827] Trial 6 finished with value: 0.0013382524233585596 and parameters: {'hid_dim': 2048, 'beta': 0.2, 'dropout_rate': 0.2, 'win_size': 4, 'lr': 0.001, 'weight_decay': 0.001}. Best is trial 1 with value: 0.28172326976412726.
[I 2025-10-06 21:43:23,253] Trial 7 finished with value: 0.0002851789141789401 and parameters: {'hid_dim': 2048, 'beta': 0.2, 'dropout_rate': 0.1, 'win_size': 4, 'lr': 5e-05, 'weight_decay': 0.005}. Best is trial 1 with value: 0.28172326976412726.
[I 2025-10-06 22:01:03,255] Trial 8 finished with value: 0.0009409429181348382 and parameters: {'hid_dim': 2048, 'beta': 0.2, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 0.0005, 'weight_decay': 0.005}. Best is trial 1 with value: 0.28172326976412726.
[I 2025-10-06 22:49:29,457] Trial 9 finished with value: 0.007574810462193664 and parameters: {'hid_dim': 4096, 'beta': 0.2, 'dropout_rate': 0.1, 'win_size': 8, 'lr': 0.0005, 'weight_decay': 0.0001}. Best is trial 1 with value: 0.28172326976412726.
[I 2025-10-06 22:54:23,275] Trial 10 finished with value: 0.260801219291555 and parameters: {'hid_dim': 1024, 'beta': 0.0, 'dropout_rate': 0.4, 'win_size': 2, 'lr': 0.0001, 'weight_decay': 0.0001}. Best is trial 1 with value: 0.28172326976412726.
