[I 2025-09-16 01:04:03,377] A new study created in memory with name: no-name-5982d125-ba8d-47cf-b664-18b6f5d80912
[I 2025-09-16 01:05:50,971] Trial 0 finished with value: 0.8097820818848854 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.001, 'lambd': 0.01, 'lr': 0.01, 'win_size': 7, 'epochs': 750}. Best is trial 0 with value: 0.8097820818848854.
[I 2025-09-16 01:08:27,759] Trial 1 finished with value: 0.8012215917982762 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.1, 'win_size': 9, 'epochs': 1000}. Best is trial 0 with value: 0.8097820818848854.
[I 2025-09-16 01:10:02,587] Trial 2 finished with value: 0.8205518879538448 and parameters: {'hid_dim': 256, 'theta': 5.0, 'beta': 0.1, 'lambd': 0.2, 'lr': 0.01, 'win_size': 7, 'epochs': 500}. Best is trial 2 with value: 0.8205518879538448.
[I 2025-09-16 01:13:34,444] Trial 3 finished with value: 0.7464807015835331 and parameters: {'hid_dim': 512, 'theta': 2.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.005, 'win_size': 5, 'epochs': 1000}. Best is trial 2 with value: 0.8205518879538448.
[I 2025-09-16 01:15:12,489] Trial 4 finished with value: 0.8079192111051858 and parameters: {'hid_dim': 256, 'theta': 5.0, 'beta': 0.001, 'lambd': 0.2, 'lr': 0.005, 'win_size': 3, 'epochs': 1000}. Best is trial 2 with value: 0.8205518879538448.
[I 2025-09-16 01:17:06,040] Trial 5 finished with value: 0.28539874443071656 and parameters: {'hid_dim': 512, 'theta': 2.0, 'beta': 0.1, 'lambd': 0.2, 'lr': 0.05, 'win_size': 3, 'epochs': 750}. Best is trial 2 with value: 0.8205518879538448.
[I 2025-09-16 01:18:30,407] Trial 6 finished with value: 0.6724073458407573 and parameters: {'hid_dim': 32, 'theta': 5.0, 'beta': 0.001, 'lambd': 0.01, 'lr': 0.001, 'win_size': 5, 'epochs': 1000}. Best is trial 2 with value: 0.8205518879538448.
[I 2025-09-16 01:20:19,876] Trial 7 finished with value: 0.26474107407925507 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.001, 'win_size': 9, 'epochs': 500}. Best is trial 2 with value: 0.8205518879538448.
[I 2025-09-16 01:22:00,035] Trial 8 finished with value: 0.7758068031209644 and parameters: {'hid_dim': 64, 'theta': 5.0, 'beta': 0.01, 'lambd': 0.2, 'lr': 0.05, 'win_size': 9, 'epochs': 750}. Best is trial 2 with value: 0.8205518879538448.
[I 2025-09-16 01:23:28,781] Trial 9 finished with value: 0.5009817895793082 and parameters: {'hid_dim': 128, 'theta': 5.0, 'beta': 0.1, 'lambd': 0.01, 'lr': 0.005, 'win_size': 9, 'epochs': 500}. Best is trial 2 with value: 0.8205518879538448.
[I 2025-09-16 01:25:04,737] Trial 10 finished with value: 0.812436359209781 and parameters: {'hid_dim': 256, 'theta': 5.0, 'beta': 0.1, 'lambd': 0.001, 'lr': 0.01, 'win_size': 7, 'epochs': 500}. Best is trial 2 with value: 0.8205518879538448.
