[I 2025-09-26 15:51:32,019] A new study created in memory with name: no-name-b4ab6bfd-ac59-4416-b9d4-afa24f20af93
[I 2025-09-26 15:52:45,081] Trial 0 finished with value: 0.0058972722197992815 and parameters: {'hid_dim': 64, 'theta': 5.0, 'beta': 0.1, 'lambd': 0.001, 'lr': 0.005, 'win_size': 9, 'epochs': 750}. Best is trial 0 with value: 0.0058972722197992815.
[I 2025-09-26 15:53:56,332] Trial 1 finished with value: 0.2539859806302016 and parameters: {'hid_dim': 32, 'theta': 2.0, 'beta': 0.01, 'lambd': 0.2, 'lr': 0.05, 'win_size': 9, 'epochs': 750}. Best is trial 1 with value: 0.2539859806302016.
[I 2025-09-26 15:55:43,399] Trial 2 finished with value: 0.4910384637448339 and parameters: {'hid_dim': 256, 'theta': 5.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.01, 'win_size': 9, 'epochs': 1000}. Best is trial 2 with value: 0.4910384637448339.
[I 2025-09-26 15:56:39,606] Trial 3 finished with value: 0.046014122322762877 and parameters: {'hid_dim': 64, 'theta': 2.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.01, 'win_size': 3, 'epochs': 1000}. Best is trial 2 with value: 0.4910384637448339.
[I 2025-09-26 15:57:35,709] Trial 4 finished with value: 0.35560720066079116 and parameters: {'hid_dim': 64, 'theta': 5.0, 'beta': 0.001, 'lambd': 0.1, 'lr': 0.05, 'win_size': 3, 'epochs': 1000}. Best is trial 2 with value: 0.4910384637448339.
[I 2025-09-26 15:58:40,758] Trial 5 finished with value: 0.150592311327902 and parameters: {'hid_dim': 32, 'theta': 7.0, 'beta': 0.001, 'lambd': 0.001, 'lr': 0.01, 'win_size': 7, 'epochs': 750}. Best is trial 2 with value: 0.4910384637448339.
[I 2025-09-26 15:59:11,222] Trial 6 finished with value: 0.46811129839290866 and parameters: {'hid_dim': 32, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.2, 'lr': 0.05, 'win_size': 3, 'epochs': 500}. Best is trial 2 with value: 0.4910384637448339.
[I 2025-09-26 15:59:57,121] Trial 7 finished with value: 0.20023396101041818 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.001, 'lambd': 0.1, 'lr': 0.001, 'win_size': 7, 'epochs': 500}. Best is trial 2 with value: 0.4910384637448339.
[I 2025-09-26 16:02:41,943] Trial 8 finished with value: 0.08177834337722992 and parameters: {'hid_dim': 512, 'theta': 5.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.005, 'win_size': 9, 'epochs': 1000}. Best is trial 2 with value: 0.4910384637448339.
[I 2025-09-26 16:04:05,699] Trial 9 finished with value: 0.41701939142491684 and parameters: {'hid_dim': 64, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.1, 'lr': 0.01, 'win_size': 7, 'epochs': 1000}. Best is trial 2 with value: 0.4910384637448339.
[I 2025-09-26 16:05:20,262] Trial 10 finished with value: 0.5541284364222211 and parameters: {'hid_dim': 256, 'theta': 5.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.1, 'win_size': 5, 'epochs': 1000}. Best is trial 10 with value: 0.5541284364222211.
[I 2025-09-26 16:06:34,850] Trial 11 finished with value: 0.5544833371889512 and parameters: {'hid_dim': 256, 'theta': 5.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.1, 'win_size': 5, 'epochs': 1000}. Best is trial 11 with value: 0.5544833371889512.
[I 2025-09-26 16:07:50,518] Trial 12 finished with value: 0.5549626243268024 and parameters: {'hid_dim': 256, 'theta': 5.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.1, 'win_size': 5, 'epochs': 1000}. Best is trial 12 with value: 0.5549626243268024.
