[I 2025-08-27 08:29:04,945] Trial 100 finished with value: 0.8138074508938596 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 21:30:20,828] Trial 144 finished with value: 0.8131983553443703 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 17:46:13,812] Trial 131 finished with value: 0.8130950436443157 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 06:05:51,116] Trial 93 finished with value: 0.8130712677272336 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 93 with value: 0.8130712677272336.
[I 2025-08-27 18:03:34,384] Trial 132 finished with value: 0.8130480414211597 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 18:20:42,967] Trial 133 finished with value: 0.8129819873065688 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-26 23:35:34,749] Trial 73 finished with value: 0.8123470401931021 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 73 with value: 0.8123470401931021.
[I 2025-08-27 10:29:42,086] Trial 107 finished with value: 0.8120728852128699 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 15:28:14,174] Trial 123 finished with value: 0.8116939175180929 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 20:55:40,665] Trial 142 finished with value: 0.8113540052513365 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 09:03:29,470] Trial 102 finished with value: 0.8112020345872423 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 16:54:22,744] Trial 128 finished with value: 0.811185728977429 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 20:21:04,264] Trial 140 finished with value: 0.8111403634325077 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 18:37:58,329] Trial 134 finished with value: 0.8109982905558164 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-26 23:52:47,026] Trial 74 finished with value: 0.8108717922142099 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 73 with value: 0.8123470401931021.
[I 2025-08-27 20:03:52,663] Trial 139 finished with value: 0.8108130738795429 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 19:46:22,145] Trial 138 finished with value: 0.8108105027159596 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 12:47:56,956] Trial 115 finished with value: 0.8105637582785764 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 03:25:00,861] Trial 85 finished with value: 0.8105445930783581 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 73 with value: 0.8123470401931021.
[I 2025-08-27 17:28:54,913] Trial 130 finished with value: 0.8105059711952965 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 11:39:01,066] Trial 111 finished with value: 0.8105020520909095 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 07:14:54,193] Trial 97 finished with value: 0.8104993028067407 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 93 with value: 0.8130712677272336.
[I 2025-08-27 13:05:12,583] Trial 116 finished with value: 0.8104868540087038 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 21:47:35,534] Trial 145 finished with value: 0.8104604918906474 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 06:57:32,451] Trial 96 finished with value: 0.8100924877670623 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 93 with value: 0.8130712677272336.
[I 2025-08-27 05:13:58,880] Trial 90 finished with value: 0.8100342949017314 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 73 with value: 0.8123470401931021.
[I 2025-08-27 08:46:26,843] Trial 101 finished with value: 0.8099353380412516 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 20:38:26,111] Trial 141 finished with value: 0.8097539010248731 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 19:11:44,604] Trial 136 finished with value: 0.8096101245111796 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 11:56:09,335] Trial 112 finished with value: 0.809579774608967 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 05:48:41,266] Trial 92 finished with value: 0.8092794572993682 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 73 with value: 0.8123470401931021.
