[I 2025-09-12 21:39:02,886] A new study created in memory with name: no-name-2b7f891b-79ac-4937-a01c-7ad6f142e225
[I 2025-09-12 21:40:05,350] Trial 0 finished with value: 0.821702887571875 and parameters: {'hid_dim': 512, 'theta': 1.4, 'alpha': 0.01, 'beta': 0.1, 'lr': 0.05, 'win_size': 8}. Best is trial 0 with value: 0.821702887571875.
[I 2025-09-12 21:40:49,454] Trial 1 finished with value: 0.8112115223040572 and parameters: {'hid_dim': 128, 'theta': 1.4, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 6}. Best is trial 0 with value: 0.821702887571875.
[I 2025-09-12 21:41:26,600] Trial 2 finished with value: 0.8201548509370339 and parameters: {'hid_dim': 128, 'theta': 1.2, 'alpha': 0.005, 'beta': 0.1, 'lr': 0.3, 'win_size': 4}. Best is trial 0 with value: 0.821702887571875.
[I 2025-09-12 21:42:09,725] Trial 3 finished with value: 0.8211896894523133 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.05, 'beta': 0.05, 'lr': 0.1, 'win_size': 2}. Best is trial 0 with value: 0.821702887571875.
[I 2025-09-12 21:44:03,330] Trial 4 finished with value: 0.6473722489167253 and parameters: {'hid_dim': 1024, 'theta': 1.2, 'alpha': 0.005, 'beta': 0.001, 'lr': 0.2, 'win_size': 10}. Best is trial 0 with value: 0.821702887571875.
[I 2025-09-12 21:44:31,582] Trial 5 finished with value: 0.7660834307091942 and parameters: {'hid_dim': 256, 'theta': 1.2, 'alpha': 0.01, 'beta': 0.001, 'lr': 0.3, 'win_size': 2}. Best is trial 0 with value: 0.821702887571875.
[I 2025-09-12 21:45:40,712] Trial 6 finished with value: 0.8321035908654043 and parameters: {'hid_dim': 512, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.1, 'lr': 0.2, 'win_size': 10}. Best is trial 6 with value: 0.8321035908654043.
[I 2025-09-12 21:47:08,751] Trial 7 finished with value: 0.8432205090186731 and parameters: {'hid_dim': 1024, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.1, 'lr': 0.01, 'win_size': 6}. Best is trial 7 with value: 0.8432205090186731.
[I 2025-09-12 21:47:37,471] Trial 8 finished with value: 0.8063908490085224 and parameters: {'hid_dim': 512, 'theta': 0.8, 'alpha': 0.01, 'beta': 0.05, 'lr': 0.05, 'win_size': 2}. Best is trial 7 with value: 0.8432205090186731.
[I 2025-09-12 21:49:32,451] Trial 9 finished with value: 0.6270045115323856 and parameters: {'hid_dim': 1024, 'theta': 0.6, 'alpha': 0.005, 'beta': 0.1, 'lr': 0.2, 'win_size': 10}. Best is trial 7 with value: 0.8432205090186731.
[I 2025-09-12 21:50:16,276] Trial 10 finished with value: 0.8356780846578473 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.05, 'beta': 0.01, 'lr': 0.01, 'win_size': 6}. Best is trial 7 with value: 0.8432205090186731.
[I 2025-09-12 21:51:00,716] Trial 11 finished with value: 0.8060231284024375 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.05, 'beta': 0.01, 'lr': 0.01, 'win_size': 6}. Best is trial 7 with value: 0.8432205090186731.
[I 2025-09-12 21:51:44,871] Trial 12 finished with value: 0.7748971632279859 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.05, 'beta': 0.01, 'lr': 0.01, 'win_size': 6}. Best is trial 7 with value: 0.8432205090186731.
[I 2025-09-12 21:52:28,849] Trial 13 finished with value: 0.8417393463594933 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.05, 'beta': 0.01, 'lr': 0.01, 'win_size': 6}. Best is trial 7 with value: 0.8432205090186731.
[I 2025-09-12 21:53:57,491] Trial 14 finished with value: 0.8454133506819436 and parameters: {'hid_dim': 1024, 'theta': 1.0, 'alpha': 0.05, 'beta': 0.1, 'lr': 0.01, 'win_size': 6}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 21:55:06,141] Trial 15 finished with value: 0.8320284102774279 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.01, 'beta': 0.1, 'lr': 0.01, 'win_size': 4}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 21:56:50,948] Trial 16 finished with value: 0.7920584645322208 and parameters: {'hid_dim': 1024, 'theta': 0.6, 'alpha': 0.01, 'beta': 0.1, 'lr': 0.1, 'win_size': 8}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 21:58:20,436] Trial 17 finished with value: 0.843409235312659 and parameters: {'hid_dim': 1024, 'theta': 0.8, 'alpha': 0.05, 'beta': 0.1, 'lr': 0.01, 'win_size': 6}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 21:59:49,772] Trial 18 finished with value: 0.8429258117149548 and parameters: {'hid_dim': 1024, 'theta': 0.8, 'alpha': 0.05, 'beta': 0.1, 'lr': 0.01, 'win_size': 6}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:01:19,015] Trial 19 finished with value: 0.8421953647854536 and parameters: {'hid_dim': 1024, 'theta': 0.8, 'alpha': 0.05, 'beta': 0.05, 'lr': 0.01, 'win_size': 6}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:01:57,167] Trial 20 finished with value: 0.7855681484234371 and parameters: {'hid_dim': 128, 'theta': 0.8, 'alpha': 0.05, 'beta': 0.001, 'lr': 0.1, 'win_size': 4}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:03:26,804] Trial 21 finished with value: 0.839664295348669 and parameters: {'hid_dim': 1024, 'theta': 1.0, 'alpha': 0.05, 'beta': 0.1, 'lr': 0.01, 'win_size': 6}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:04:56,132] Trial 22 finished with value: 0.8437777921511148 and parameters: {'hid_dim': 1024, 'theta': 1.0, 'alpha': 0.05, 'beta': 0.1, 'lr': 0.01, 'win_size': 6}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:06:25,314] Trial 23 finished with value: 0.8436953512377356 and parameters: {'hid_dim': 1024, 'theta': 0.8, 'alpha': 0.05, 'beta': 0.1, 'lr': 0.01, 'win_size': 6}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:07:54,586] Trial 24 finished with value: 0.7618361934987341 and parameters: {'hid_dim': 1024, 'theta': 1.0, 'alpha': 0.05, 'beta': 0.1, 'lr': 0.3, 'win_size': 6}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:09:39,465] Trial 25 finished with value: 0.8341634838209895 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.05, 'beta': 0.1, 'lr': 0.01, 'win_size': 8}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:11:08,756] Trial 26 finished with value: 0.8406977390953769 and parameters: {'hid_dim': 1024, 'theta': 1.4, 'alpha': 0.05, 'beta': 0.1, 'lr': 0.01, 'win_size': 6}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:12:37,956] Trial 27 finished with value: 0.8386933748606457 and parameters: {'hid_dim': 1024, 'theta': 0.6, 'alpha': 0.05, 'beta': 0.1, 'lr': 0.01, 'win_size': 6}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:13:22,524] Trial 28 finished with value: 0.7870822336933538 and parameters: {'hid_dim': 128, 'theta': 0.8, 'alpha': 0.05, 'beta': 0.05, 'lr': 0.01, 'win_size': 6}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:14:26,086] Trial 29 finished with value: 0.8130521471303238 and parameters: {'hid_dim': 512, 'theta': 1.4, 'alpha': 0.05, 'beta': 0.1, 'lr': 0.05, 'win_size': 8}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:15:08,016] Trial 30 finished with value: 0.7876404901279161 and parameters: {'hid_dim': 512, 'theta': 1.0, 'alpha': 0.005, 'beta': 0.001, 'lr': 0.2, 'win_size': 4}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:16:37,197] Trial 31 finished with value: 0.844476127922422 and parameters: {'hid_dim': 1024, 'theta': 0.8, 'alpha': 0.05, 'beta': 0.1, 'lr': 0.01, 'win_size': 6}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:18:06,576] Trial 32 finished with value: 0.8434180337690936 and parameters: {'hid_dim': 1024, 'theta': 0.8, 'alpha': 0.05, 'beta': 0.1, 'lr': 0.01, 'win_size': 6}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:19:35,872] Trial 33 finished with value: 0.8365143682280368 and parameters: {'hid_dim': 1024, 'theta': 0.8, 'alpha': 0.05, 'beta': 0.1, 'lr': 0.05, 'win_size': 6}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:20:20,618] Trial 34 finished with value: 0.8149800728395223 and parameters: {'hid_dim': 128, 'theta': 0.8, 'alpha': 0.05, 'beta': 0.1, 'lr': 0.3, 'win_size': 6}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:21:04,664] Trial 35 finished with value: 0.7475944691668375 and parameters: {'hid_dim': 1024, 'theta': 1.2, 'alpha': 0.005, 'beta': 0.1, 'lr': 0.01, 'win_size': 2}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:23:00,740] Trial 36 finished with value: 0.8115271412393482 and parameters: {'hid_dim': 1024, 'theta': 1.4, 'alpha': 0.05, 'beta': 0.1, 'lr': 0.1, 'win_size': 10}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:24:30,087] Trial 37 finished with value: 0.8221000194068655 and parameters: {'hid_dim': 1024, 'theta': 1.0, 'alpha': 0.05, 'beta': 0.001, 'lr': 0.01, 'win_size': 6}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:26:15,492] Trial 38 finished with value: 0.7483998921103534 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.05, 'lr': 0.3, 'win_size': 8}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:26:44,562] Trial 39 finished with value: 0.7273828914461047 and parameters: {'hid_dim': 128, 'theta': 1.2, 'alpha': 0.05, 'beta': 0.1, 'lr': 0.01, 'win_size': 2}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:27:54,657] Trial 40 finished with value: 0.830878281284437 and parameters: {'hid_dim': 512, 'theta': 0.8, 'alpha': 0.05, 'beta': 0.1, 'lr': 0.2, 'win_size': 10}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:29:23,715] Trial 41 finished with value: 0.8437754172766257 and parameters: {'hid_dim': 1024, 'theta': 0.8, 'alpha': 0.05, 'beta': 0.1, 'lr': 0.01, 'win_size': 6}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:30:52,849] Trial 42 finished with value: 0.8283043221147732 and parameters: {'hid_dim': 1024, 'theta': 0.8, 'alpha': 0.05, 'beta': 0.1, 'lr': 0.01, 'win_size': 6}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:32:21,956] Trial 43 finished with value: 0.8427139555388916 and parameters: {'hid_dim': 1024, 'theta': 0.8, 'alpha': 0.05, 'beta': 0.1, 'lr': 0.01, 'win_size': 6}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:33:51,138] Trial 44 finished with value: 0.8303351568806966 and parameters: {'hid_dim': 1024, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.1, 'lr': 0.05, 'win_size': 6}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:35:20,263] Trial 45 finished with value: 0.8131511915074046 and parameters: {'hid_dim': 1024, 'theta': 0.8, 'alpha': 0.05, 'beta': 0.01, 'lr': 0.01, 'win_size': 6}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:36:04,783] Trial 46 finished with value: 0.763820630759582 and parameters: {'hid_dim': 256, 'theta': 0.6, 'alpha': 0.005, 'beta': 0.1, 'lr': 0.01, 'win_size': 6}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:37:13,687] Trial 47 finished with value: 0.8186310025371749 and parameters: {'hid_dim': 1024, 'theta': 1.0, 'alpha': 0.05, 'beta': 0.001, 'lr': 0.01, 'win_size': 4}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:37:57,696] Trial 48 finished with value: 0.82717106441493 and parameters: {'hid_dim': 1024, 'theta': 1.2, 'alpha': 0.01, 'beta': 0.1, 'lr': 0.1, 'win_size': 2}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:39:27,065] Trial 49 finished with value: 0.7756025663541511 and parameters: {'hid_dim': 1024, 'theta': 0.8, 'alpha': 0.05, 'beta': 0.05, 'lr': 0.2, 'win_size': 6}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:40:20,256] Trial 50 finished with value: 0.8540863552605894 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.05, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 50 with value: 0.8540863552605894.
