number,value,params_dropout_rate,params_lr,params_hid_dim,params_alpha,params_beta,params_win_size
0,0.12103330358285996,0.30000000000000004,5e-05,32,1.0,1.0,4
1,0.3009254025130826,0.2,5e-05,32,5.0,0.8,6
2,0.0,0.4,0.001,256,3.0,0.6000000000000001,6
3,0.02715593664685757,0.2,1e-05,64,5.0,1.0,2
4,0.7369448659766062,0.5,0.01,128,2.0,0.0,4
5,0.3992966214947557,0.1,0.0005,64,2.0,1.0,4
6,0.6486370377733229,0.4,0.0001,256,5.0,0.8,2
7,0.5169016775074712,0.4,0.001,16,5.0,0.2,4
8,0.03032346566464182,0.5,1e-05,16,5.0,0.8,2
9,0.3338371310308486,0.30000000000000004,0.005,64,3.0,0.8,4
10,0.7360241313064151,0.5,0.01,128,2.0,0.0,4
11,0.7376898650814757,0.5,0.01,128,2.0,0.0,4
12,0.735357964350757,0.5,0.01,128,2.0,0.0,4
13,0.5648406963866657,0.5,0.01,128,4.0,0.2,4
14,0.0,0.4,0.01,128,0.0,0.2,4
15,0.2347026469117384,0.5,0.01,128,2.0,0.4,6
16,0.7515507655364018,0.4,0.0001,128,2.0,0.0,4
17,0.0,0.4,0.0001,128,0.0,0.4,4
18,0.6819393502586868,0.30000000000000004,0.0001,128,4.0,0.2,2
19,0.6842635831098308,0.4,0.0005,32,1.0,0.0,6
20,0.6515005324802732,0.2,0.005,256,2.0,0.4,4
21,0.7442122860554709,0.5,0.0001,128,2.0,0.0,4
22,0.7424057625349528,0.5,0.0001,128,2.0,0.0,4
23,0.576653035044058,0.4,0.0001,128,2.0,0.2,4
24,0.7413640291214012,0.5,0.0001,128,2.0,0.0,4
25,0.2220115456697597,0.4,0.0001,16,2.0,0.2,4
26,0.736420223170395,0.5,0.0001,128,2.0,0.0,4
27,0.4104324177731649,0.4,0.0001,128,4.0,0.6000000000000001,4
28,0.6455453993180061,0.30000000000000004,0.0001,128,3.0,0.2,6
29,0.47658703244913214,0.5,5e-05,32,1.0,0.0,2
30,0.0,0.30000000000000004,0.0001,64,0.0,0.4,4
31,0.7418944499904282,0.5,0.0001,128,2.0,0.0,4
32,0.7445521479006754,0.5,0.0001,128,2.0,0.0,4
33,0.540579053057516,0.5,5e-05,32,2.0,0.0,4
34,0.5740078307317896,0.4,0.001,256,1.0,0.2,6
35,0.5864788242538662,0.5,1e-05,128,2.0,0.0,4
36,0.7502116656881564,0.4,0.0001,128,2.0,0.0,4
37,0.7425399714875692,0.2,0.0005,128,3.0,0.6000000000000001,4
38,0.24954973064112693,0.4,0.0001,16,2.0,0.2,2
