number,value,params_lr,params_hid_dim,params_lambd,params_beta,params_theta,params_win_size,params_epochs
0,0.8097820818848854,0.01,128,0.01,0.001,7.0,7,750
1,0.8012215917982762,0.1,128,0.1,0.01,7.0,9,1000
2,0.8205518879538448,0.01,256,0.2,0.1,5.0,7,500
3,0.7464807015835331,0.005,512,0.1,0.01,2.0,5,1000
4,0.8079192111051858,0.005,256,0.2,0.001,5.0,3,1000
5,0.28539874443071656,0.05,512,0.2,0.1,2.0,3,750
6,0.6724073458407573,0.001,32,0.01,0.001,5.0,5,1000
7,0.26474107407925507,0.001,256,0.01,0.01,7.0,9,500
8,0.7758068031209644,0.05,64,0.2,0.01,5.0,9,750
9,0.5009817895793082,0.005,128,0.01,0.1,5.0,9,500
10,0.812436359209781,0.01,256,0.001,0.1,5.0,7,500
11,0.8122948206686282,0.01,256,0.001,0.1,5.0,7,500
12,0.8124771953978858,0.01,256,0.001,0.1,5.0,7,500
13,0.8124525935360802,0.01,256,0.001,0.1,5.0,7,500
14,0.6353679932045705,0.01,32,0.001,0.1,5.0,7,500
15,0.7786596276451382,0.1,64,0.2,0.1,2.0,7,500
16,0.8122056410239147,0.01,256,0.001,0.1,5.0,7,500
17,0.8207508418149162,0.01,256,0.2,0.1,5.0,7,500
18,0.7914513893273578,0.01,256,0.2,0.1,7.0,3,500
19,0.5542101024837536,0.05,32,0.2,0.1,2.0,5,750
20,0.4020135273658112,0.001,64,0.2,0.001,5.0,7,500
21,0.8208916634184995,0.01,256,0.2,0.1,5.0,7,500
22,0.8209616102591561,0.01,256,0.2,0.1,5.0,7,500
23,0.8209824602553715,0.01,256,0.2,0.1,5.0,7,500
24,0.8188436943730331,0.1,512,0.2,0.1,5.0,7,500
25,0.8188558722985017,0.01,256,0.1,0.1,5.0,7,500
26,0.8207348395192317,0.01,256,0.2,0.1,5.0,7,500
27,0.8025824341627177,0.01,256,0.2,0.1,5.0,3,750
28,0.8313122611966591,0.01,256,0.2,0.01,7.0,5,1000
29,0.8312501356437734,0.01,128,0.2,0.01,7.0,5,1000
30,0.8073772941710354,0.001,128,0.1,0.01,7.0,5,1000
31,0.8314375204595481,0.01,128,0.2,0.01,7.0,5,1000
32,0.8312693848825351,0.01,128,0.2,0.01,7.0,5,1000
33,0.8210325838896987,0.1,128,0.2,0.01,7.0,5,1000
34,0.8309828238898362,0.01,128,0.2,0.01,7.0,5,1000
35,0.8243530512299889,0.005,128,0.1,0.01,7.0,5,1000
36,0.8313093952791594,0.01,128,0.2,0.01,7.0,5,1000
37,0.8381435976621002,0.05,128,0.01,0.01,7.0,5,1000
38,0.8379590998787774,0.05,128,0.01,0.01,7.0,5,1000
39,0.8382246001352808,0.05,128,0.01,0.01,7.0,5,1000
40,0.8383378831616035,0.05,128,0.01,0.01,7.0,5,1000
41,0.8380564733150575,0.05,128,0.01,0.01,7.0,5,1000
42,0.8382042435065445,0.05,128,0.01,0.01,7.0,5,1000
43,0.8381768225026431,0.05,128,0.01,0.01,7.0,5,1000
44,0.838038051801527,0.05,128,0.01,0.01,7.0,5,1000
45,0.7870496632713636,0.05,128,0.01,0.001,7.0,9,1000
46,0.8329215833605906,0.05,512,0.01,0.01,7.0,5,1000
47,0.8384982902118232,0.05,128,0.01,0.01,7.0,5,1000
48,0.6853447270395998,0.05,128,0.01,0.01,2.0,5,1000
49,0.7875125934233531,0.05,128,0.01,0.01,7.0,9,1000
50,0.6740375828319758,0.05,32,0.01,0.001,7.0,3,750
51,0.8380207869712205,0.05,128,0.01,0.01,7.0,5,1000
52,0.8381972832450065,0.05,128,0.01,0.01,7.0,5,1000
53,0.8380942914471575,0.05,128,0.01,0.01,7.0,5,1000
54,0.837843089901222,0.05,128,0.01,0.01,7.0,5,1000
55,0.5631164886047895,0.05,64,0.01,0.01,2.0,5,1000
56,0.8383740518334936,0.05,128,0.01,0.01,7.0,5,1000
57,0.8244627723939092,0.005,512,0.01,0.01,7.0,5,1000
58,0.8138073969070936,0.05,128,0.01,0.001,7.0,5,750
59,0.5718547082074329,0.05,32,0.01,0.01,7.0,9,1000
60,0.5652840019594358,0.05,64,0.01,0.01,2.0,3,1000
61,0.8383778375565499,0.05,128,0.01,0.01,7.0,5,1000
62,0.8378013965296336,0.05,128,0.01,0.01,7.0,5,1000
63,0.8383072837587535,0.05,128,0.01,0.01,7.0,5,1000
64,0.8039481741600799,0.001,128,0.01,0.01,7.0,5,1000
65,0.8374222084200409,0.05,128,0.001,0.01,7.0,5,1000
66,0.8172972393746875,0.1,128,0.01,0.01,7.0,5,1000
67,0.8322291855801183,0.05,128,0.01,0.01,7.0,5,750
68,0.8351182734757028,0.05,512,0.1,0.01,7.0,5,1000
69,0.6887520105459639,0.05,128,0.01,0.001,7.0,3,1000
70,0.8197911555695423,0.005,128,0.01,0.01,7.0,5,1000
71,0.8381628795855731,0.05,128,0.01,0.01,7.0,5,1000
72,0.8380777258794718,0.05,128,0.01,0.01,7.0,5,1000
73,0.8381501397091801,0.05,128,0.01,0.01,7.0,5,1000
74,0.8381838626865318,0.05,128,0.01,0.01,7.0,5,1000
75,0.6737253404531471,0.001,32,0.001,0.01,7.0,5,1000
76,0.6851233915262146,0.05,128,0.01,0.01,2.0,5,1000
77,0.7124201478389992,0.05,64,0.01,0.01,7.0,9,1000
78,0.8207245520305329,0.1,128,0.1,0.01,7.0,5,1000
79,0.8381574064011962,0.05,128,0.01,0.01,7.0,5,1000
80,0.8323979493520797,0.05,128,0.01,0.01,7.0,5,750
81,0.837886654661688,0.05,128,0.01,0.01,7.0,5,1000
82,0.8385193327505283,0.05,128,0.01,0.01,7.0,5,1000
83,0.837922548671526,0.05,128,0.01,0.01,7.0,5,1000
84,0.8380845347659492,0.05,128,0.01,0.01,7.0,5,1000
85,0.8381519424372128,0.05,128,0.01,0.01,7.0,5,1000
86,0.8379741188384309,0.05,128,0.01,0.01,7.0,5,1000
87,0.8154505652244662,0.05,128,0.01,0.001,7.0,5,1000
88,0.8234153767373142,0.005,512,0.001,0.01,7.0,5,1000
89,0.7248554077747654,0.001,128,0.01,0.01,2.0,3,1000
90,0.8376633605966377,0.05,128,0.01,0.01,7.0,5,1000
91,0.8381304946768064,0.05,128,0.01,0.01,7.0,5,1000
92,0.8381400429853435,0.05,128,0.01,0.01,7.0,5,1000
93,0.8383274987733725,0.05,128,0.01,0.01,7.0,5,1000
94,0.8380389416484767,0.05,128,0.01,0.01,7.0,5,1000
95,0.7867699611939806,0.05,128,0.01,0.01,7.0,9,1000
96,0.7079053035698007,0.1,32,0.1,0.01,7.0,5,1000
97,0.7977674352081673,0.05,64,0.01,0.01,7.0,5,750
98,0.8382347580254106,0.05,128,0.01,0.01,7.0,5,1000
99,0.83812783807062,0.05,128,0.01,0.01,7.0,5,1000
100,0.8157190353299218,0.05,128,0.01,0.001,7.0,5,1000
