number,value,params_dropout_rate,params_lr,params_hid_dim,params_beta,params_win_size,params_weight_decay
0,0.003839060750720796,0.5,0.0001,2048,0.1,6,0.0005
1,0.28172326976412726,0.2,0.0001,1024,0.0,4,0.0001
2,0.002561368554272088,0.3,0.005,1024,0.2,6,0.0005
3,8.551639974037295e-05,0.3,5e-05,2048,0.3,4,0.005
4,0.0,0.5,0.001,4096,0.1,6,0.005
5,0.0020497932665051945,0.1,5e-05,1024,0.2,4,0.0001
6,0.0013382524233585596,0.2,0.001,2048,0.2,4,0.001
7,0.0002851789141789401,0.1,5e-05,2048,0.2,4,0.005
8,0.0009409429181348382,0.2,0.0005,2048,0.2,6,0.005
9,0.007574810462193664,0.1,0.0005,4096,0.2,8,0.0001
10,0.260801219291555,0.4,0.0001,1024,0.0,2,0.0001
11,0.26151462899156214,0.4,0.0001,1024,0.0,2,0.0001
12,0.26120788500404535,0.4,0.0001,1024,0.0,2,0.0001
13,0.0,0.4,0.0001,1024,0.4,2,0.0001
14,0.0,0.2,0.0001,1024,0.0,8,0.001
15,0.25032248214574515,0.4,0.005,1024,0.0,2,0.0001
16,0.28354173064669713,0.2,0.0001,1024,0.0,4,0.0001
17,0.0,0.2,0.0001,4096,0.4,4,0.0001
18,8.551639974037295e-05,0.2,0.0001,1024,0.3,4,0.001
19,0.2607320033264138,0.2,0.001,1024,0.0,4,0.0005
20,0.24584811906595028,0.2,0.0005,4096,0.0,4,0.0001
21,0.2608166897501623,0.4,0.0001,1024,0.0,2,0.0001
22,0.0,0.2,0.0001,1024,0.0,8,0.0001
23,0.26158001292334926,0.5,0.0001,1024,0.0,2,0.0001
24,0.26368336262024733,0.5,0.0001,1024,0.0,4,0.0001
25,0.019463818750021594,0.5,0.005,1024,0.4,4,0.0001
26,0.2641746229707977,0.5,0.0001,1024,0.0,4,0.0001
27,0.0109170112201305,0.3,0.0001,1024,0.1,4,0.001
28,0.0,0.5,0.0001,4096,0.3,4,0.0005
29,0.002019765680006907,0.5,0.0001,1024,0.1,4,0.0005
30,0.24584811906595028,0.2,0.001,2048,0.0,4,0.0001
31,0.26884094877400105,0.5,0.0001,1024,0.0,4,0.0001
32,0.27426449799098845,0.5,0.0001,1024,0.0,4,0.0001
33,0.2459025537582571,0.5,0.005,1024,0.0,6,0.0001
34,0.27734904258431087,0.3,5e-05,1024,0.0,4,0.0001
35,0.00017102548663230593,0.3,5e-05,1024,0.3,4,0.005
36,0.0005699576572996799,0.3,5e-05,1024,0.1,6,0.0005
37,0.2637897101763863,0.3,5e-05,2048,0.0,4,0.0001
38,0.0,0.3,5e-05,1024,0.0,4,0.005
39,0.0,0.1,5e-05,4096,0.4,8,0.0001
40,0.31536769029785444,0.2,0.0005,2048,0.0,4,0.001
41,0.31649337546791106,0.2,0.0005,2048,0.0,4,0.001
42,0.3117437306837224,0.2,0.0005,2048,0.0,4,0.001
43,0.0009124555273049549,0.2,0.0005,2048,0.2,4,0.001
44,0.2936896958233137,0.2,0.0005,2048,0.0,6,0.001
45,0.2962776777319973,0.2,0.0005,2048,0.0,6,0.001
46,0.29477684812528865,0.2,0.0005,2048,0.0,6,0.001
47,0.29167975196960355,0.2,0.0005,2048,0.0,6,0.001
48,0.29663993910722325,0.2,0.0005,2048,0.0,6,0.001
49,0.0006829427487142345,0.2,0.0005,2048,0.2,6,0.001
50,0.0005700658949915671,0.2,0.0005,2048,0.3,6,0.001
51,0.29262693968845727,0.2,0.0005,2048,0.0,6,0.001
52,0.2931038660987617,0.2,0.0005,2048,0.0,6,0.001
53,0.2930874842172923,0.2,0.0005,2048,0.0,6,0.001
54,0.2942943223522281,0.2,0.0005,2048,0.0,6,0.001
55,0.29318556239473054,0.2,0.0005,2048,0.0,6,0.001
56,0.29026707717013545,0.1,0.0005,2048,0.0,6,0.001
57,0.0008259456882797614,0.2,0.0005,2048,0.1,8,0.001
58,8.552973362913573e-05,0.2,0.0005,2048,0.4,6,0.001
59,0.2882157997627854,0.2,0.0005,2048,0.0,6,0.001
60,0.2924319161849022,0.2,0.0005,2048,0.0,6,0.001
61,0.2904489672175515,0.2,0.0005,2048,0.0,6,0.001
62,0.2920388994238352,0.2,0.0005,2048,0.0,6,0.001
63,0.2892310680472159,0.2,0.0005,2048,0.0,6,0.001
64,0.2909148372095622,0.2,0.0005,2048,0.0,6,0.001
65,0.30454317981373363,0.2,0.0005,2048,0.0,2,0.001
66,0.0006557339281400473,0.4,0.001,2048,0.2,2,0.001
67,0.30091931918737114,0.2,0.0005,2048,0.0,2,0.001
68,0.00791084107738643,0.2,0.005,2048,0.0,2,0.001
69,0.0027898417067554523,0.1,0.0005,2048,0.3,2,0.001
70,0.0,0.2,0.0005,4096,0.0,2,0.005
71,0.3026155014669068,0.2,0.0005,2048,0.0,2,0.001
72,0.3015849204119086,0.2,0.0005,2048,0.0,2,0.001
73,0.3007279421652002,0.2,0.0005,2048,0.0,2,0.001
74,0.30233005318729983,0.2,0.0005,2048,0.0,2,0.001
75,0.2507762205486838,0.2,0.0005,2048,0.0,2,0.0005
76,0.0,0.4,0.0005,2048,0.4,2,0.001
77,0.24886195852776963,0.2,0.005,2048,0.1,2,0.001
78,0.13638129284101252,0.2,0.001,2048,0.0,2,0.001
79,0.0,0.2,0.0005,4096,0.0,2,0.005
80,0.3029509196092987,0.2,0.0005,2048,0.0,2,0.001
81,0.30253658495997166,0.2,0.0005,2048,0.0,2,0.001
82,0.30224107386759536,0.2,0.0005,2048,0.0,2,0.001
83,0.3005506856153856,0.2,0.0005,2048,0.0,2,0.001
84,0.300532819072538,0.2,0.0005,2048,0.0,2,0.001
85,0.30223337964756986,0.2,0.0005,2048,0.0,2,0.001
86,0.0029880711389533277,0.1,0.0005,2048,0.2,2,0.0005
87,0.3021037902163101,0.2,0.0005,2048,0.0,2,0.001
88,0.000741203510093108,0.2,0.001,2048,0.3,4,0.001
89,0.3027554086601383,0.2,0.0005,2048,0.0,2,0.001
90,0.3148842260602318,0.4,0.0005,2048,0.0,4,0.001
91,0.31498542203610563,0.4,0.0005,2048,0.0,4,0.001
92,0.31483248768760586,0.4,0.0005,2048,0.0,4,0.001
93,0.3098507708491709,0.4,0.0005,2048,0.0,4,0.001
94,0.31251833354119757,0.4,0.0005,2048,0.0,4,0.001
95,0.31475361335822977,0.4,0.0005,2048,0.0,4,0.001
96,0.0,0.4,0.005,4096,0.4,4,0.001
97,0.00039886324280928245,0.4,0.0005,2048,0.1,4,0.005
98,0.3156192529516866,0.4,0.0005,2048,0.0,4,0.001
99,0.3115186150220829,0.4,0.0005,2048,0.0,4,0.001
100,0.3129227408562652,0.4,0.0005,2048,0.0,4,0.001
101,0.31382138654279734,0.4,0.0005,2048,0.0,4,0.001
102,0.3136640799930767,0.4,0.0005,2048,0.0,4,0.001
103,0.31425715857057174,0.4,0.0005,2048,0.0,4,0.001
104,0.3193641749549911,0.4,0.0005,2048,0.0,4,0.001
105,0.3194097450458155,0.4,0.0005,2048,0.0,4,0.001
106,0.27507128789159707,0.4,5e-05,2048,0.0,4,0.0005
107,0.3149817203351665,0.4,0.0005,2048,0.0,4,0.001
108,0.3153419640495752,0.4,0.0005,2048,0.0,4,0.001
109,5.6856143474226944e-05,0.4,0.0005,2048,0.2,4,0.001
110,0.31505346751945934,0.4,0.0005,2048,0.0,4,0.001
111,0.31221657262851416,0.4,0.0005,2048,0.0,4,0.001
112,0.31405177546004087,0.4,0.0005,2048,0.0,4,0.001
113,0.31323222314121824,0.4,0.0005,2048,0.0,4,0.001
114,0.31499923783640527,0.4,0.0005,2048,0.0,4,0.001
115,0.0,0.4,0.0005,2048,0.3,4,0.001
116,0.0,0.4,0.001,4096,0.0,4,0.001
117,0.3173454038678632,0.4,0.0005,2048,0.0,4,0.001
118,0.31616826049774255,0.4,0.0005,2048,0.0,4,0.001
119,0.005832765891124196,0.4,0.005,2048,0.0,8,0.001
120,0.0,0.4,0.0005,2048,0.4,4,0.005
121,0.31619707967343486,0.4,0.0005,2048,0.0,4,0.001
122,0.3133252878855957,0.4,0.0005,2048,0.0,4,0.001
123,0.3151878662280634,0.4,0.0005,2048,0.0,4,0.001
124,0.3221576611292568,0.4,0.0005,2048,0.0,4,0.001
125,0.3151664498814803,0.4,0.0005,2048,0.0,4,0.001
126,0.0016234744313286817,0.4,0.0005,2048,0.1,4,0.001
127,0.2563495824813197,0.4,5e-05,2048,0.0,4,0.001
128,0.24693183128314403,0.4,0.0005,2048,0.0,4,0.0005
129,0.31755040014040486,0.4,0.0005,2048,0.0,4,0.001
130,0.3163585345650708,0.4,0.0005,2048,0.0,4,0.001
131,0.3148487578331271,0.4,0.0005,2048,0.0,4,0.001
132,0.3178866071864402,0.4,0.0005,2048,0.0,4,0.001
133,0.3113166192200382,0.4,0.0005,2048,0.0,4,0.001
134,0.3125298476312873,0.3,0.0005,2048,0.0,4,0.001
135,0.313629517460974,0.4,0.0005,2048,0.0,4,0.001
136,0.3134493355433725,0.4,0.0005,2048,0.0,4,0.001
137,0.2834249894548532,0.4,0.0005,2048,0.0,8,0.001
138,0.0002563133315627561,0.4,0.0005,4096,0.2,4,0.001
139,0.10355192983247408,0.5,0.001,2048,0.0,4,0.001
140,0.0,0.4,0.0001,2048,0.3,4,0.001
141,0.3123714748783935,0.4,0.0005,2048,0.0,4,0.001
142,0.3105258672595179,0.4,0.0005,2048,0.0,4,0.001
143,0.3138532558499882,0.4,0.0005,2048,0.0,4,0.001
144,0.31691911652929855,0.1,0.0005,2048,0.0,4,0.001
145,0.3150721657499797,0.1,0.0005,2048,0.0,4,0.001
146,0.31323015710321395,0.4,0.0005,2048,0.0,4,0.001
147,0.0,0.1,0.0005,2048,0.0,4,0.005
148,0.31874236608997153,0.1,0.0005,2048,0.0,4,0.001
149,0.3196266657928138,0.1,0.0005,2048,0.0,4,0.001
150,0.009442941735998361,0.1,0.005,2048,0.4,4,0.001
151,0.31913763900577696,0.1,0.0005,2048,0.0,4,0.001
152,0.3172634314279886,0.1,0.0005,2048,0.0,4,0.001
153,0.31360048066308027,0.1,0.0005,2048,0.0,4,0.001
154,0.3138743490737112,0.1,0.0005,2048,0.0,4,0.001
155,0.3120233356663123,0.1,0.0005,2048,0.0,4,0.001
156,0.3174028020796596,0.1,0.0005,2048,0.0,4,0.001
157,0.005166772538688631,0.1,0.0005,2048,0.1,4,0.001
158,0.2471291900928417,0.1,0.0005,2048,0.0,4,0.0005
159,0.2604125358437492,0.1,5e-05,2048,0.0,4,0.001
160,0.28192196578247647,0.1,0.0005,2048,0.0,8,0.001
161,0.3165463154861041,0.1,0.0005,2048,0.0,4,0.001
