number,value,params_dropout_rate,params_lr,params_hid_dim,params_alpha,params_beta,params_win_size
0,0.0,0.30000000000000004,0.0001,256,2.0,0.2,2
1,0.0009964021063130388,0.2,0.01,512,4.0,0.2,4
2,0.0,0.30000000000000004,0.0005,2048,3.0,0.8,6
3,0.0,0.5,0.001,1024,3.0,0.2,2
4,0.0,0.4,1e-05,2048,0.0,0.2,4
5,0.0,0.5,0.005,512,1.0,0.0,2
6,0.0,0.1,1e-05,256,0.0,0.6000000000000001,2
7,0.0,0.1,0.01,512,5.0,0.6000000000000001,4
8,0.0,0.30000000000000004,5e-05,512,4.0,1.0,2
9,0.0,0.30000000000000004,0.005,1024,2.0,1.0,6
10,0.0,0.2,0.01,512,4.0,0.4,4
11,0.0,0.2,0.0001,256,2.0,0.0,4
12,0.0,0.2,0.0001,256,2.0,0.2,2
13,0.0,0.4,0.0001,256,4.0,0.4,4
14,0.0,0.2,0.01,512,1.0,0.2,6
15,0.0,0.4,5e-05,256,5.0,0.0,2
16,0.0,0.1,0.0005,1024,2.0,0.4,4
17,0.0,0.2,0.001,2048,4.0,0.2,2
18,0.0,0.30000000000000004,0.01,256,2.0,0.4,4
19,0.0,0.4,0.0001,512,4.0,0.0,6
20,0.0,0.2,0.01,512,0.0,0.8,2
21,0.0,0.30000000000000004,0.0005,2048,3.0,0.8,6
22,0.0,0.30000000000000004,0.0005,2048,3.0,0.8,6
23,0.0,0.30000000000000004,0.0005,2048,3.0,0.6000000000000001,6
24,0.0,0.4,0.0005,2048,3.0,0.8,6
25,0.0,0.2,0.0001,2048,1.0,0.6000000000000001,6
26,0.0,0.30000000000000004,0.001,256,5.0,0.4,4
27,0.0,0.1,1e-05,1024,2.0,0.2,6
28,0.0,0.2,5e-05,256,4.0,1.0,4
29,0.0,0.5,0.005,1024,3.0,0.2,2
30,0.0010237647636592091,0.4,0.001,512,3.0,0.0,2
31,0.0005407025244911438,0.4,0.001,512,3.0,0.0,2
32,0.0005122999026663826,0.4,0.001,512,3.0,0.0,2
33,0.0008254744189727308,0.4,0.001,512,3.0,0.0,2
34,0.0001421464149379709,0.5,0.001,512,3.0,0.0,2
35,0.0013377856124961104,0.4,0.001,512,3.0,0.0,2
36,0.0005407025244911438,0.4,0.001,512,3.0,0.0,2
37,8.529148860822851e-05,0.5,0.001,512,3.0,0.0,2
38,0.0,0.4,0.001,512,0.0,0.2,2
39,0.0,0.5,0.001,512,3.0,0.2,2
40,0.001479453024442859,0.4,0.001,512,1.0,0.0,2
41,0.0009672266408450644,0.4,0.001,512,1.0,0.0,2
42,0.0024747906402422942,0.4,0.001,512,1.0,0.0,2
43,0.0,0.5,1e-05,512,1.0,0.0,2
44,0.0,0.4,0.001,512,1.0,0.2,2
45,0.0006266622133572737,0.4,0.01,512,1.0,0.0,2
46,0.0,0.4,0.001,512,1.0,0.2,4
47,0.00011393477495856402,0.5,0.005,512,1.0,0.0,2
48,0.3142026448251389,0.30000000000000004,0.01,512,4.0,0.0,4
49,0.41832406001196265,0.30000000000000004,0.01,512,4.0,0.0,4
50,0.3763238199428462,0.30000000000000004,0.01,512,4.0,0.0,4
51,0.32762730677919266,0.30000000000000004,0.01,512,4.0,0.0,4
52,0.3173343011121386,0.30000000000000004,0.01,512,4.0,0.0,4
53,0.4036237122946067,0.30000000000000004,0.01,512,4.0,0.0,4
54,0.0005699989909497119,0.30000000000000004,0.01,512,4.0,0.2,4
55,0.010015358822577015,0.30000000000000004,0.01,512,4.0,0.0,4
