number,value,params_lr,params_hid_dim,params_lambd,params_beta,params_theta,params_win_size,params_epochs
0,0.0058972722197992815,0.005,64,0.001,0.1,5.0,9,750
1,0.2539859806302016,0.05,32,0.2,0.01,2.0,9,750
2,0.4910384637448339,0.01,256,0.1,0.01,5.0,9,1000
3,0.046014122322762877,0.01,64,0.01,0.01,2.0,3,1000
4,0.35560720066079116,0.05,64,0.1,0.001,5.0,3,1000
5,0.150592311327902,0.01,32,0.001,0.001,7.0,7,750
6,0.46811129839290866,0.05,32,0.2,0.1,7.0,3,500
7,0.20023396101041818,0.001,128,0.1,0.001,7.0,7,500
8,0.08177834337722992,0.005,512,0.1,0.01,5.0,9,1000
9,0.41701939142491684,0.01,64,0.1,0.1,7.0,7,1000
10,0.5541284364222211,0.1,256,0.01,0.01,5.0,5,1000
11,0.5544833371889512,0.1,256,0.01,0.01,5.0,5,1000
12,0.5549626243268024,0.1,256,0.01,0.01,5.0,5,1000
13,0.5551115410913243,0.1,256,0.01,0.01,5.0,5,1000
14,0.5547663218240505,0.1,256,0.01,0.01,5.0,5,1000
15,0.5440007525407852,0.1,256,0.01,0.01,5.0,5,500
16,0.48097435217844764,0.1,128,0.01,0.01,2.0,5,1000
17,0.6810619418514466,0.001,512,0.01,0.01,5.0,5,1000
18,0.5963016446711752,0.001,512,0.01,0.001,5.0,5,500
19,0.5927760051745401,0.001,512,0.001,0.001,2.0,5,500
20,0.7745872383863669,0.001,512,0.2,0.001,5.0,5,500
21,0.7742764864224576,0.001,512,0.2,0.001,5.0,5,500
22,0.7746403798280616,0.001,512,0.2,0.001,5.0,5,500
23,0.7744508902478394,0.001,512,0.2,0.001,5.0,5,500
24,0.7748805594504438,0.001,512,0.2,0.001,5.0,5,500
25,0.7745202351084497,0.001,512,0.2,0.001,5.0,5,500
26,0.7751392244476889,0.001,512,0.2,0.001,5.0,5,500
27,0.3788430935254833,0.001,512,0.2,0.001,5.0,7,500
28,0.755895542341269,0.001,512,0.2,0.001,2.0,3,500
29,0.2216660639785802,0.005,128,0.2,0.1,7.0,9,750
30,0.7749850415477532,0.001,512,0.2,0.001,5.0,5,500
31,0.7738552489833159,0.001,512,0.2,0.001,5.0,5,500
32,0.7745106689154658,0.001,512,0.2,0.001,5.0,5,500
33,0.7739997448078944,0.001,512,0.2,0.001,5.0,5,500
34,0.26709587137397406,0.005,512,0.2,0.001,5.0,9,750
35,0.26785068755996183,0.05,32,0.2,0.001,2.0,5,500
36,0.7046952178372825,0.001,64,0.001,0.001,5.0,3,500
37,0.8162570182593033,0.001,512,0.2,0.1,5.0,5,750
38,0.26170325186349946,0.01,32,0.2,0.1,7.0,9,750
39,0.2956258796276268,0.05,512,0.001,0.1,5.0,7,750
40,0.6342982684204186,0.001,64,0.2,0.1,2.0,3,750
41,0.81628130595985,0.001,512,0.2,0.1,5.0,5,750
42,0.8163340900029108,0.001,512,0.2,0.1,5.0,5,750
43,0.8162086286147539,0.001,512,0.2,0.1,5.0,5,750
44,0.7674749003181177,0.01,128,0.1,0.1,5.0,5,750
45,0.8263231368518383,0.001,512,0.2,0.1,7.0,5,750
46,0.5956643553213246,0.005,512,0.2,0.1,7.0,7,750
47,0.4112802429614973,0.05,32,0.1,0.1,7.0,5,750
48,0.8260371047774564,0.001,512,0.2,0.1,7.0,5,750
49,0.14526333368011785,0.001,64,0.2,0.1,7.0,9,750
50,0.7954890971900845,0.01,512,0.001,0.1,7.0,5,750
51,0.8258762561272001,0.001,512,0.2,0.1,7.0,5,750
52,0.8261516285364319,0.001,512,0.2,0.1,7.0,5,750
53,0.8259908851234835,0.001,512,0.2,0.1,7.0,5,750
54,0.8263401174037391,0.001,512,0.2,0.1,7.0,5,750
55,0.7197145286270142,0.001,128,0.2,0.1,7.0,5,750
56,0.8503837203232792,0.001,512,0.1,0.1,7.0,3,750
57,0.8503656097813546,0.001,256,0.1,0.1,7.0,3,750
