[I 2025-09-26 21:00:34,409] A new study created in memory with name: no-name-99bf2f12-d33a-4291-8f85-f56ad7c7fdb1
[I 2025-09-26 21:02:20,305] Trial 0 finished with value: 0.47175768356549747 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.05, 'beta': 0.1, 'lr': 0.3, 'win_size': 10}. Best is trial 0 with value: 0.47175768356549747.
[I 2025-09-26 21:03:01,234] Trial 1 finished with value: 0.7200230691251828 and parameters: {'hid_dim': 256, 'theta': 0.8, 'alpha': 0.05, 'beta': 0.01, 'lr': 0.05, 'win_size': 8}. Best is trial 1 with value: 0.7200230691251828.
[I 2025-09-26 21:03:44,631] Trial 2 finished with value: 0.7354733245844787 and parameters: {'hid_dim': 128, 'theta': 1.2, 'alpha': 0.005, 'beta': 0.1, 'lr': 0.1, 'win_size': 10}. Best is trial 2 with value: 0.7354733245844787.
[I 2025-09-26 21:04:08,872] Trial 3 finished with value: 0.23883938558757684 and parameters: {'hid_dim': 128, 'theta': 1.2, 'alpha': 0.01, 'beta': 0.001, 'lr': 0.05, 'win_size': 2}. Best is trial 2 with value: 0.7354733245844787.
[I 2025-09-26 21:04:55,403] Trial 4 finished with value: 0.7206757966235503 and parameters: {'hid_dim': 512, 'theta': 1.0, 'alpha': 0.05, 'beta': 0.001, 'lr': 0.1, 'win_size': 6}. Best is trial 2 with value: 0.7354733245844787.
[I 2025-09-26 21:05:39,047] Trial 5 finished with value: 0.7924270210139492 and parameters: {'hid_dim': 256, 'theta': 0.8, 'alpha': 0.01, 'beta': 0.1, 'lr': 0.2, 'win_size': 10}. Best is trial 5 with value: 0.7924270210139492.
[I 2025-09-26 21:06:41,841] Trial 6 finished with value: 0.8473489159332281 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.05, 'beta': 0.001, 'lr': 0.05, 'win_size': 4}. Best is trial 6 with value: 0.8473489159332281.
[I 2025-09-26 21:07:18,962] Trial 7 finished with value: 0.8160020378799095 and parameters: {'hid_dim': 256, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.3, 'win_size': 6}. Best is trial 6 with value: 0.8473489159332281.
[I 2025-09-26 21:07:43,028] Trial 8 finished with value: 0.21988312849197245 and parameters: {'hid_dim': 128, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.05, 'lr': 0.1, 'win_size': 2}. Best is trial 6 with value: 0.8473489159332281.
[I 2025-09-26 21:08:24,665] Trial 9 finished with value: 0.6981334587332351 and parameters: {'hid_dim': 256, 'theta': 1.6, 'alpha': 0.01, 'beta': 0.05, 'lr': 0.3, 'win_size': 8}. Best is trial 6 with value: 0.8473489159332281.
[I 2025-09-26 21:09:27,730] Trial 10 finished with value: 0.4507554029121626 and parameters: {'hid_dim': 1024, 'theta': 0.6, 'alpha': 0.05, 'beta': 0.001, 'lr': 0.01, 'win_size': 4}. Best is trial 6 with value: 0.8473489159332281.
[I 2025-09-26 21:10:30,846] Trial 11 finished with value: 0.8505351454741326 and parameters: {'hid_dim': 1024, 'theta': 1.4, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 4}. Best is trial 11 with value: 0.8505351454741326.
[I 2025-09-26 21:11:33,960] Trial 12 finished with value: 0.8507655980653753 and parameters: {'hid_dim': 1024, 'theta': 1.4, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 4}. Best is trial 12 with value: 0.8507655980653753.
[I 2025-09-26 21:12:37,066] Trial 13 finished with value: 0.8364824979821344 and parameters: {'hid_dim': 1024, 'theta': 1.4, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 4}. Best is trial 12 with value: 0.8507655980653753.
[I 2025-09-26 21:13:40,159] Trial 14 finished with value: 0.8510720847965608 and parameters: {'hid_dim': 1024, 'theta': 1.4, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 4}. Best is trial 14 with value: 0.8510720847965608.
